[307]:HP(1236),HA(1536),HM(1556),LM(1830),LP(1855),LA(2050)
[1172]:HP(5154),HA(6372),HM(6603),LP(7888),LM(8304),LA(9446)
[145]:HP(536),HA(689),HM(707),LM(733),LP(768),LA(826)
[21]:LP(62),HP(63),LM(74),HM(82),HA(82),LA(83)
[172]:HP(645),HA(820),HM(850),LM(1001),LA(1122),LP(1130)
[331]:HP(1306),HA(1633),HM(1738),LP(1902),LM(2030),LA(2646)
[1932]:HP(8865),HA(10817),HM(11186),LM(14571),LA(14643),LP(16406)
[1903]:HP(3805),HA(6978),HM(7609),LM(12814),LA(16114),LP(1815460)
[419]:HP(1714),HA(2118),HM(2187),LM(2635),LP(3119),LA(3396)
[1335]:HP(5941),HA(7342),HM(7581),LP(9125),LM(9405),LA(11416)
[1352]:HP(6019),HA(7398),HM(7618),LM(9433),LP(9746),LA(10796)
[1149]:HP(5107),HA(6197),HM(6447),LM(7781),LA(9197),LP(9367)
[599]:HP(2475),HA(3138),HM(3199),LM(4150),LP(4326),LA(4774)
[1174]:HP(5069),HA(6343),HM(6548),LM(8299),LA(9781),LP(11142)
[554]:HP(2294),HA(2832),HM(2956),LM(3558),LP(3625),LA(3898)
[779]:HP(1557),HA(2840),HM(3113),LM(5194),LA(5386),LP(305366)
[914]:HP(3933),HA(4863),HM(5083),LM(6715),LP(6951),LA(7346)
[507]:HP(2091),HA(2604),HM(2688),LM(3437),LP(3520),LA(3773)
[1142]:HP(4927),HA(6191),HM(6426),LM(7482),LA(8944),LP(9021)
[387]:HP(1555),HA(1946),HM(2031),LP(2473),LM(2670),LA(2913)
[1379]:HP(6129),HA(7593),HM(7827),LM(10029),LA(10878),LP(11310)
[672]:HP(2883),HA(3478),HM(3691),LM(4184),LP(4594),LA(5737)
[1587]:HP(7101),HA(8744),HM(9138),LM(10814),LP(12144),LA(13416)
[86]:HP(309),HA(396),HM(399),LM(436),LP(473),LA(533)
[1578]:HP(7050),HA(8774),HM(9062),LM(12053),LP(12273),LA(14187)
[350]:HP(1405),HA(1758),HM(1813),LM(1996),LP(2389),LA(2426)
[796]:HP(3395),HA(4246),HM(4371),LP(5383),LM(5750),LA(6403)
[1484]:HP(6662),HA(8146),HM(8455),LM(10804),LP(12268),LA(13200)
[746]:HP(1491),HA(2727),HM(2981),LM(4971),LA(5402),LP(280121)
[1737]:HP(7793),HA(9671),HM(9975),LP(12487),LM(12577),LA(14542)
[1722]:HP(7771),HA(9578),HM(9877),LM(12305),LP(13553),LA(13970)
[1422]:HP(6367),HA(7761),HM(8117),LM(10109),LP(11093),LA(12702)
[1962]:HP(9085),HA(10994),HM(11309),LM(14828),LP(15153),LA(17682)
[883]:HP(3816),HA(4674),HM(4870),LM(5739),LA(6017),LP(6347)
[1969]:HP(3937),HA(7240),HM(7873),LM(13079),LA(17121),LP(1943401)
[15]:HP(44),HM(56),HA(57),LM(58),LP(61),LA(73)
[1575]:HP(7050),HA(8745),HM(8980),LM(11162),LP(13315),LA(13380)
[617]:HP(2565),HA(3191),HM(3321),LM(3825),LP(4410),LA(4587)
[240]:HP(937),HA(1158),HM(1212),LP(1357),LM(1363),LA(1695)
[1204]:HP(5348),HA(6572),HM(6766),LM(8547),LP(8906),LA(10022)
[1537]:HP(6835),HA(8379),HM(8772),LM(10674),LP(13003),LA(14315)
[1696]:HP(7577),HA(9422),HM(9744),LM(12567),LP(12999),LA(13716)
[33]:HP(104),LM(129),LP(134),HA(137),HM(144),LA(157)
[65]:HP(129),HA(233),HM(257),LM(273),LA(363),LP(2273)
[1238]:HP(5436),HA(6750),HM(6980),LA(9211),LM(9219),LP(9586)
[24]:HP(71),HA(99),HM(101),LP(108),LM(117),LA(119)
[848]:HP(3623),HA(4462),HM(4633),LP(5711),LM(5756),LA(7582)
[229]:HP(893),HA(1134),HM(1153),LM(1362),LA(1382),LP(1606)
[180]:HP(673),HA(872),HM(894),LP(969),LM(1027),LA(1133)
[1699]:HP(7660),HA(9456),HM(9755),LM(12476),LP(14327),LA(16194)
[1965]:HP(9005),HA(10972),HM(11346),LP(15804),LM(15857),LA(19741)
[1459]:HP(6555),HA(8028),HM(8298),LM(10382),LA(11498),LP(11503)
[306]:HP(1217),HA(1523),HM(1550),LM(1684),LA(1913),LP(2180)
[1715]:HP(7798),HA(9559),HM(9863),LM(12011),LA(14185),LP(14220)
[431]:HP(1743),HA(2174),HM(2278),LM(2731),LA(3139),LP(3395)
[527]:HP(1053),HA(1952),HM(2105),LM(2990),LA(3999),LP(140180)
[231]:HP(461),HA(847),HM(921),LM(1226),LA(1432),LP(27256)
[1538]:HP(3076),HA(5649),HM(6148),LM(11029),LA(13104),LP(1186565)
[104]:HP(364),HA(475),LM(505),HM(505),LP(601),LA(725)
